"","Sample.1.NI.Sample1","Sample.2.NI.Sample1","Sample.3.d3.pi.Sample1","Sample.4.d3.pi.Sample1","Sample.5.ECM.Sample1","Sample.6.ECM.Sample1","Sample 1
ECM
Sample2","Sample 2
ECM
Sample2","Sample 3
NI
Sample2","Sample 4
NI
Sample2","Sample 5
d3 pi
Sample2","Sample 6
d3 pi
Sample2"
"C0HKE1, C0HKE2, C0HKE3, C0HKE4, C0HKE5, C0HKE6, C0HKE7, C0HKE8, C0HKE9, P27661, Q64522, Q64523, Q6GSS7, Q8BFU2, Q8CGP5, Q8CGP6, Q8CGP7, Q8R1M2",-0.277238255823825,-0.187835101848452,-0.262385319672283,-0.220767449856594,0.361984597794972,0.586241529406182,NA,NA,NA,NA,NA,NA
"E9PV24",0.19044304709659,-0.10861841270087,-0.342507981498584,0.00941968436207663,-0.00687649008874791,0.258140152829534,-0.224711501607417,-0.451585334785214,1.01706506868712,0.35837838633965,-0.366822141286021,-0.332324477348114
"E9Q394",0.915992531108668,-0.0651869204672555,-0.149010530704801,-0.0922138399027945,-0.624400087831174,0.0148188477973568,-0.477745761182429,0.137025570994818,-0.704436797439501,0.385368190058226,0.148196893118976,0.511591904449909
"E9Q414",0.147858797036923,0.04085689954058,0.0421152164068896,0.196668753935281,-0.233849708633509,-0.193649958286164,-0.192246519708804,-0.415656586704579,0.15769367362509,0.225316229569764,0.186609466716801,0.0382837365017301
"G5E829, Q9R0K7",0.0141086784996007,-0.120686324654371,-0.295784173575458,-0.397963515268802,0.455927654337649,0.344397680661381,-0.0747660105395367,1.32316040240632,-0.335693057231084,-0.0978093160855549,-0.474217909096033,-0.340674109454107
"G5E8G2",0.0896120268944136,0.066940871939992,0.224022391816113,0.145676012057643,-0.414093146753676,-0.112158155954485,NA,NA,NA,NA,NA,NA
"O08601",0.0423709437398125,-0.102190354561295,-0.409809211332791,-0.718670756551087,1.59198872493965,-0.403689346234285,NA,NA,NA,NA,NA,NA
"O08638, Q8VDD5",-0.331929541198132,-0.218864039035205,-0.194162902408326,-0.15140244412575,0.593631902637736,0.302727024129677,NA,NA,NA,NA,NA,NA
"O08677",0.313204040311361,0.0565357092039278,-0.0657898701522375,0.07200571023473,-0.304104251292963,-0.0718513383048185,0.0070852562874868,-0.491520969870246,0.131976094195578,0.0786165288190079,0.273595435729888,0.000247654838283928
"O08807, P35700",-0.165094900774617,-0.149769134327456,-0.233344421310086,-0.2516540154739,0.562361557381328,0.237500914504731,-0.108795543275404,1.1009898121098,-0.405693896265405,-0.132986864508157,-0.268038189045143,-0.185475319015692
"O35601",0.187819434192269,-0.136618749683418,0.18039353568645,-0.0686716539946435,-0.176459049577189,0.0135364833765306,-0.545260628252453,0.609608246189233,-0.0575864121071596,0.280305499765993,-0.555909618352686,0.268842912757073
